중위매매가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012년 01월 ~ 2018년 04월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012년 01월 ~ 2018년 04월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국감정원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.22 14:50:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구별,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2012년 중위값 평균,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2013년 중위값 평균,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2014년 중위값 평균,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2015년 중위값 평균,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2016년 중위값 평균,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2017년 중위값 평균,2018년 01월,2018년 02월,2018년 03월,2018년 04월
종로구,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,434000,434000,434000,434000,434000,434000,434000,434416.67,394000,394500,394500,394500,394500,394500,394500,394000,397000,397000,396500,396500,395166.67,396500,396500,397000,397000,400500,400500,400500,404000,406000,406000,408000,408500,401750,408500,409500,409500,410500,411500,412000,412000,414000,415000,415500,416000,416500,412541.67,416500,417000,417500,418500,420000,422000,424000,426000,427000,427500,428500,537500,431833.33,540000,550000,565000,570000
중구,496909,496909,492500,492500,487500,485000,485000,485000,480000,480000,480000,470000,485943.2,470000,470000,467500,470000,470000,470000,467500,465000,465000,465000,465000,465000,467500,465000,462000,462000,462000,462000,462000,463000,463000,463000,463000,468000,468000,463583.33,468000,468000,468000,468000,470000,473000,500000,501000,501500,502500,502500,504500,485583.33,504500,504500,505000,505000,505000,505500,505500,504000,505500,508000,510500,512000,506250,512000,512500,513500,513500,515000,519000,522000,527000,529000,529000,533500,600000,527166.67,617500,632500,635000,647500
용산구,780000,780000,780000,780000,780000,778000,776500,770000,765000,757500,755000,750000,771000,750000,735000,730000,730000,720000,717500,712500,705000,705000,675000,675000,670000,710416.67,670000,671000,671000,666000,665000,665000,665000,665000,665000,665000,667500,667000,666875,667000,667000,667000,667000,666000,666500,687500,687500,687500,687500,687500,687500,677125,688500,688500,688500,688500,688500,686500,686500,684000,689000,692500,693500,696000,689208.33,697500,697500,697500,700500,700500,702500,712500,735000,735000,735000,735000,885000,727791.67,900000,937500,950000,950000
성동구,476500,475000,474000,474000,471500,469000,462500,459000,457000,450000,441000,441000,462541.7,440000,434000,432500,427500,430000,434000,435000,434500,434500,445000,440000,442500,435791.67,447500,447500,450000,450000,450000,449500,449500,449500,450000,450000,450000,448500,449333.33,449500,452500,457500,462500,467500,470000,470000,472500,472500,477500,480000,482500,467875,482500,482500,482500,482500,482500,483500,483500,487500,487500,489000,493500,494500,485958.33,494500,493000,493000,494500,495500,500500,503500,504000,500500,502000,509500,622500,509416.67,633500,650000,656000,658000
광진구,557500,557500,557500,550000,550000,547500,545000,542500,540000,539000,530000,527500,545333.3,522500,520000,520000,520000,515000,511500,510000,507500,507500,507500,507500,507500,513041.67,511500,511500,512500,511000,511000,511500,509000,509000,513000,515000,515500,515500,512166.67,516500,519000,520000,525500,530000,532500,540000,540000,545500,552000,555000,562000,536500,560000,559500,559000,559500,562000,564000,565000,565500,568000,570500,577500,579000,565791.67,579500,579500,579500,579500,579500,583500,588000,597500,597500,601000,607500,700000,597708.33,715000,720000,733500,740000
동대문구,355000,355000,355000,355000,355000,353500,354000,352500,352500,348000,345000,340000,351708.3,340000,340000,340000,335000,332500,334500,333000,330500,330000,332500,332500,337500,334833.33,342500,342500,342500,342500,342500,342500,340500,340500,339000,339500,339500,342000,341333.33,342000,342500,343000,343000,343000,350000,361000,362500,363500,368000,371000,374000,355291.67,374000,373500,373500,373500,375000,376500,376500,381000,383000,385500,385500,386500,378666.67,386500,386500,388500,390000,395000,397500,400000,400000,400000,400000,400000,449000,399416.67,449000,450000,452500,454000
중랑구,305000,307500,307500,307500,302500,297500,297500,297500,295000,297500,290000,290000,299583.3,290000,287500,287500,287500,288500,292500,295000,295000,294500,294500,296000,293500,291833.33,286500,286500,288000,288000,288000,286000,286000,286000,286000,286000,287000,287000,286750,287000,290000,291000,293000,293000,295000,297000,297000,302000,302000,302000,303000,296000,303000,304000,304000,304000,304000,305000,305000,306000,307500,307500,307500,307500,305416.67,307500,307500,307500,307500,307500,307500,308000,312500,310500,310500,310500,342500,311625,342500,342500,341500,341500
성북구,370000,370000,370000,368000,368000,368000,365500,363000,362000,360000,360000,360000,365375,360000,360000,358000,354500,350000,350000,350000,347500,347500,347500,351500,356500,352750,362500,363000,363000,363000,362500,362500,362500,363500,363500,364000,364000,365000,363250,365000,365500,366000,367000,367000,370000,378000,378500,380000,381500,389000,389500,374750,389500,389500,389500,389500,389500,389500,390000,394000,398500,398500,399000,401500,393208.33,401500,401500,401500,401500,401500,402500,404000,409000,411000,413500,413500,450000,409250,450000,452500,460000,460000
강북구,345000,345000,345000,340000,339000,338000,338000,337500,336000,333000,325000,323500,337083.3,320500,320000,319000,319500,322000,322000,320000,320000,320000,320000,321000,321000,320416.67,321500,322000,322500,322500,322500,322500,322500,322500,323000,324500,325000,325000,323000,325000,325000,325500,327000,327000,327000,334000,334000,336000,341000,343000,345000,332458.33,345000,345000,345000,345000,345000,345000,345000,348000,345000,345000,345000,345500,345291.67,345500,345500,345500,345500,345500,346500,346500,350000,350000,350000,351500,375000,349750,382500,382500,385000,382500
도봉구,300000,300000,298000,298000,296000,291500,290000,288000,287500,279500,278000,276500,290250,270500,268500,266500,264000,265000,265000,260000,260000,260000,261000,262500,264000,263916.67,263500,267000,267000,267000,267000,267500,267000,269000,271000,271500,272000,272000,268458.33,273000,273500,276000,276000,276000,277500,275000,283500,286000,290000,292500,294000,281083.33,294000,294000,294000,291500,292000,292500,294000,294500,295000,296000,296500,296500,294208.33,296500,296500,296500,296500,297000,302000,303500,306500,306500,306000,305500,330000,303583.33,330000,330000,332500,332500
