구별,2012년 중위값 평균,2013년 중위값 평균,2014년 중위값 평균,2015년 중위값 평균,2016년 중위값 평균,2017년 중위값 평균
종로구,435000,434416.67,395166.67,401750,412541.67,431833.33
중구,485943.2,467500,463583.33,485583.33,506250,527166.67
용산구,771000,710416.67,666875,677125,689208.33,727791.67
성동구,462541.7,435791.67,449333.33,467875,485958.33,509416.67
광진구,545333.3,513041.67,512166.67,536500,565791.67,597708.33
동대문구,351708.3,334833.33,341333.33,355291.67,378666.67,399416.67
중랑구,299583.3,291833.33,286750,296000,305416.67,311625
성북구,365375,352750,363250,374750,393208.33,409250
강북구,337083.3,320416.67,323000,332458.33,345291.67,349750
도봉구,290250,263916.67,268458.33,281083.33,294208.33,303583.33
노원구,250166.7,239875,246000,264666.67,279541.67,301583.33
은평구,311250,303916.67,316250,326708.33,332958.33,353708.33
서대문구,345416.7,335500,341125,349000,363791.67,384000
마포구,439583.3,442291.67,451958.33,471375,491500,531041.67
양천구,508291.7,487375,486416.67,496625,516083.33,548500
강서구,366750,339875,339333.33,374708.33,415125,445666.67
구로구,327625,318458.33,316041.67,333166.67,352958.33,369458.33
금천구,274166.7,272041.67,279541.67,292958.33,307375,324333.33
영등포구,423458.3,406458.33,405375,422750,444708.33,461916.67
동작구,455750,430416.67,458166.67,479458.33,501208.33,531000
관악구,383750,365708.33,370833.33,376416.67,394541.67,419625
서초구,848654.1,802600,815875,901125,990416.67,1041458.33
강남구,833833.3,775875,796000,886666.67,975916.67,1056875
송파구,689500,682625,697291.67,742791.67,773416.67,825916.67
강동구,472541.7,440083.33,445833.33,493166.67,473833.33,475208.33
서울 평균,475973.5,451921.42,457744.75,489772.92,516892.83,543780.25
